Time,Symbol,Price,Quantity,Type,Status,Value,Tag 
2022-03-01T06:13:00Z,BTCUSDT,43093.55,-0.02273864,Market,Filled,-979.8887198, 
2022-03-01T06:13:00Z,BTCUSDT,0,0.02273864,Limit,Canceled,0,Canceled by CancelOpenOrders() at 2022-03-01T06:24:00.0000000Z 
2022-03-01T06:13:00Z,BTCUSDT,43354.08,0.02273864,Stop Limit,Filled,985.8128177,Stop Market 
2022-03-01T09:26:00Z,BTCUSDT,43394.65,-0.02242735,Market,Filled,-973.2270037, 
2022-03-01T09:26:00Z,BTCUSDT,0,0.02242735,Limit,Canceled,0,Canceled by CancelOpenOrders() at 2022-03-01T11:02:00.0000000Z 
2022-03-01T09:26:00Z,BTCUSDT,43698.41,0.02242735,Stop Limit,Filled,980.0395355,Stop Market 
2022-03-01T14:43:00Z,BTCUSDT,44072.3,-0.02191228,Market,Filled,-965.7245778, 
2022-03-01T14:43:00Z,BTCUSDT,43279,0.02191228,Limit,Filled,948.3415661,Top Profit Limit 
2022-03-01T14:43:00Z,BTCUSDT,0,0.02191228,Stop Limit,Canceled,0,Canceled by CancelOpenOrders() at 2022-03-01T16:51:00.0000000Z 
2022-03-01T18:39:00Z,BTCUSDT,43767.12,0.02245176,Market,Filled,982.6488741, 
2022-03-01T18:39:00Z,BTCUSDT,44554.93,-0.02244277,Limit,Filled,-999.9360464,Top Profit Limit 
2022-03-01T18:39:00Z,BTCUSDT,0,-0.02244277,Stop Limit,Canceled,0,Canceled by CancelOpenOrders() at 2022-03-02T00:05:00.0000000Z 
2022-03-02T01:23:00Z,BTCUSDT,43918.75,-0.02274543,Market,Filled,-998.9508538, 
2022-03-02T01:23:00Z,BTCUSDT,0,0.02274543,Limit,Canceled,0,Canceled by CancelOpenOrders() at 2022-03-02T02:47:00.0000000Z 
2022-03-02T01:23:00Z,BTCUSDT,44198.61,0.02274543,Stop Limit,Filled,1005.31639,Stop Market 
2022-03-02T03:01:00Z,BTCUSDT,44239.33,0.02243087,Market,Filled,992.3266601, 
2022-03-02T03:01:00Z,BTCUSDT,0,-0.02242189,Limit,Canceled,0,Canceled by CancelOpenOrders() at 2022-03-02T06:50:00.0000000Z 
2022-03-02T03:01:00Z,BTCUSDT,43971.59,-0.02242189,Stop Limit,Filled,-985.9261541,Stop Market 
2022-03-02T08:25:00Z,BTCUSDT,44152.78,0.02232478,Market,Filled,985.7010999, 
2022-03-02T08:25:00Z,BTCUSDT,0,-0.02231585,Limit,Canceled,0,Canceled by CancelOpenOrders() at 2022-03-02T08:52:00.0000000Z 
2022-03-02T08:25:00Z,BTCUSDT,43876.57,-0.02231585,Stop Limit,Filled,-979.1429546,Stop Market 
2022-03-02T08:59:00Z,BTCUSDT,43828.45,-0.02232485,Market,Filled,-978.463572, 
2022-03-02T08:59:00Z,BTCUSDT,0,0.02232485,Limit,Canceled,0,Canceled by CancelOpenOrders() at 2022-03-02T09:31:00.0000000Z 
2022-03-02T08:59:00Z,BTCUSDT,44135.25,0.02232485,Stop Limit,Filled,985.312836,Stop Market 
2022-03-02T10:11:00Z,BTCUSDT,44085.25,0.02203341,Market,Filled,971.3483882, 
2022-03-02T10:11:00Z,BTCUSDT,0,-0.02202459,Limit,Canceled,0,Canceled by CancelOpenOrders() at 2022-03-02T12:31:00.0000000Z 
2022-03-02T10:11:00Z,BTCUSDT,43815.67,-0.02202459,Stop Limit,Filled,-965.0221673,Stop Market 
2022-03-02T14:43:00Z,BTCUSDT,44451.87,0.02170702,Market,Filled,964.9176311, 
2022-03-02T14:43:00Z,BTCUSDT,45252,-0.02169833,Limit,Filled,-981.8928292,Top Profit Limit 
2022-03-02T14:43:00Z,BTCUSDT,0,-0.02169833,Stop Limit,Canceled,0,Canceled by CancelOpenOrders() at 2022-03-02T15:01:00.0000000Z 
2022-03-02T17:31:00Z,BTCUSDT,44051.73,-0.02226589,Market,Filled,-980.8509745, 
2022-03-02T17:31:00Z,BTCUSDT,0,0.02226589,Limit,Canceled,0,Canceled by CancelOpenOrders() at 2022-03-02T22:06:00.0000000Z 
2022-03-02T17:31:00Z,BTCUSDT,44360.09,0.02226589,Stop Limit,Filled,987.7168843,Stop Market 
2022-03-02T23:51:00Z,BTCUSDT,43853.06,-0.02219558,Market,Filled,-973.3441015, 
2022-03-02T23:51:00Z,BTCUSDT,43063.7,0.02219558,Limit,Filled,955.8237984,Top Profit Limit 
2022-03-02T23:51:00Z,BTCUSDT,0,0.02219558,Stop Limit,Canceled,0,Canceled by CancelOpenOrders() at 2022-03-03T06:14:00.0000000Z 
2022-03-03T07:02:00Z,BTCUSDT,43466.69,0.02278486,Market,Filled,990.3824463, 
2022-03-03T07:02:00Z,BTCUSDT,0,-0.02277574,Limit,Canceled,0,Canceled by CancelOpenOrders() at 2022-03-03T09:31:00.0000000Z 
2022-03-03T07:02:00Z,BTCUSDT,43162.42,-0.02277574,Stop Limit,Filled,-983.0560557,Stop Market 
2022-03-03T11:00:00Z,BTCUSDT,43402.33,0.02264735,Market,Filled,982.9477583, 
2022-03-03T11:00:00Z,BTCUSDT,0,-0.02263829,Limit,Canceled,0,Canceled by CancelOpenOrders() at 2022-03-03T15:21:00.0000000Z 
2022-03-03T11:00:00Z,BTCUSDT,43098.51,-0.02263829,Stop Limit,Filled,-975.6765679,Stop Market 
2022-03-03T22:06:00Z,BTCUSDT,42478.76,0.02296355,Market,Filled,975.4631292, 
2022-03-03T22:06:00Z,BTCUSDT,0,-0.02295436,Limit,Canceled,0,Canceled by CancelOpenOrders() at 2022-03-04T00:16:00.0000000Z 
2022-03-03T22:06:00Z,BTCUSDT,42220.63,-0.02295436,Stop Limit,Filled,-969.1475404,Stop Market 
2022-03-04T00:17:00Z,BTCUSDT,42179.57,-0.02295906,Market,Filled,-968.4032784, 
2022-03-04T00:17:00Z,BTCUSDT,41420.34,0.02295906,Limit,Filled,950.9720713,Top Profit Limit 
2022-03-04T00:17:00Z,BTCUSDT,0,0.02295906,Stop Limit,Canceled,0,Canceled by CancelOpenOrders() at 2022-03-04T01:02:00.0000000Z 
2022-03-04T06:05:00Z,BTCUSDT,41399.86,0.02380018,Market,Filled,985.32412, 
2022-03-04T06:05:00Z,BTCUSDT,0,-0.02379065,Limit,Canceled,0,Canceled by CancelOpenOrders() at 2022-03-04T08:38:00.0000000Z 
2022-03-04T06:05:00Z,BTCUSDT,41110.06,-0.02379065,Stop Limit,Filled,-978.0350489,Stop Market 
2022-03-04T08:53:00Z,BTCUSDT,41471.93,0.02357992,Market,Filled,977.9047916, 
2022-03-04T08:53:00Z,BTCUSDT,0,-0.02357048,Limit,Canceled,0,Canceled by CancelOpenOrders() at 2022-03-04T14:11:00.0000000Z 
2022-03-04T08:53:00Z,BTCUSDT,41181.63,-0.02357048,Stop Limit,Filled,-970.6707863,Stop Market 
2022-03-04T17:28:00Z,BTCUSDT,40858.34,0.02375117,Market,Filled,970.4333793, 
2022-03-04T17:28:00Z,BTCUSDT,0,-0.02374166,Limit,Canceled,0,Canceled by CancelOpenOrders() at 2022-03-04T18:50:00.0000000Z 
2022-03-04T17:28:00Z,BTCUSDT,40600,-0.02374166,Stop Limit,Filled,-963.911396,Stop Market 
2022-03-05T02:09:00Z,BTCUSDT,39037.28,0.02469068,Market,Filled,963.8569886, 
2022-03-05T02:09:00Z,BTCUSDT,0,-0.0246808,Limit,Canceled,0,Canceled by CancelOpenOrders() at 2022-03-05T04:35:00.0000000Z 
2022-03-05T02:09:00Z,BTCUSDT,38781.91,-0.0246808,Stop Limit,Filled,-957.1685643,Stop Market 
2022-03-05T06:00:00Z,BTCUSDT,39013.59,0.02452303,Market,Filled,956.731438, 
2022-03-05T06:00:00Z,BTCUSDT,0,-0.02451322,Limit,Canceled,0,Canceled by CancelOpenOrders() at 2022-03-06T09:29:00.0000000Z 
2022-03-05T06:00:00Z,BTCUSDT,38740.49,-0.02451322,Stop Limit,Filled,-949.6541543,Stop Market 
2022-03-06T12:34:00Z,BTCUSDT,38654.04,0.02456432,Market,Filled,949.5102079, 
2022-03-06T12:34:00Z,BTCUSDT,0,-0.02455449,Limit,Canceled,0,Canceled by CancelOpenOrders() at 2022-03-06T12:44:00.0000000Z 
2022-03-06T12:34:00Z,BTCUSDT,38412,-0.02455449,Stop Limit,Filled,-943.1870699,Stop Market 
2022-03-06T15:25:00Z,BTCUSDT,38674.95,-0.02437391,Market,Filled,-942.6597506, 
2022-03-06T15:25:00Z,BTCUSDT,0,0.02437391,Limit,Canceled,0,Canceled by CancelOpenOrders() at 2022-03-06T15:47:00.0000000Z 
2022-03-06T15:25:00Z,BTCUSDT,38910.11,0.02437391,Stop Limit,Filled,948.3915192,Stop Market 
2022-03-06T18:44:00Z,BTCUSDT,38854.9,-0.02409461,Market,Filled,-936.1936621, 
2022-03-06T18:44:00Z,BTCUSDT,0,0.02409461,Limit,Canceled,0,Canceled by CancelOpenOrders() at 2022-03-06T21:08:00.0000000Z 
2022-03-06T18:44:00Z,BTCUSDT,39110.25,0.02409461,Stop Limit,Filled,942.3462208,Stop Market 
2022-03-06T23:07:00Z,BTCUSDT,38750.83,-0.02398629,Market,Filled,-929.4886461, 
2022-03-06T23:07:00Z,BTCUSDT,38053.32,0.02398629,Limit,Filled,912.757969,Top Profit Limit 
2022-03-06T23:07:00Z,BTCUSDT,0,0.02398629,Stop Limit,Canceled,0,Canceled by CancelOpenOrders() at 2022-03-07T00:24:00.0000000Z 
2022-03-07T05:20:00Z,BTCUSDT,38124.05,0.02480839,Market,Filled,945.7963008, 
2022-03-07T05:20:00Z,BTCUSDT,0,-0.02479846,Limit,Canceled,0,Canceled by CancelOpenOrders() at 2022-03-07T07:56:00.0000000Z 
2022-03-07T05:20:00Z,BTCUSDT,37857.18,-0.02479846,Stop Limit,Filled,-938.7997639,Stop Market 
2022-03-07T08:59:00Z,BTCUSDT,38212.61,0.02456136,Market,Filled,938.5536707, 
2022-03-07T08:59:00Z,BTCUSDT,0,-0.02455153,Limit,Canceled,0,Canceled by CancelOpenOrders() at 2022-03-07T11:00:00.0000000Z 
2022-03-07T08:59:00Z,BTCUSDT,37974.71,-0.02455153,Stop Limit,Filled,-932.3372318,Stop Market 
2022-03-07T11:03:00Z,BTCUSDT,38022.93,-0.02450096,Market,Filled,-931.598287, 
2022-03-07T11:03:00Z,BTCUSDT,0,0.02450096,Limit,Canceled,0,Canceled by CancelOpenOrders() at 2022-03-07T11:23:00.0000000Z 
2022-03-07T11:03:00Z,BTCUSDT,38278.37,0.02450096,Stop Limit,Filled,937.8568122,Stop Market 
2022-03-07T11:24:00Z,BTCUSDT,38240.14,0.02419263,Market,Filled,925.1295582, 
2022-03-07T11:24:00Z,BTCUSDT,38928.46,-0.02418295,Limit,Filled,-941.4050018,Top Profit Limit 
2022-03-07T11:24:00Z,BTCUSDT,0,-0.02418295,Stop Limit,Canceled,0,Canceled by CancelOpenOrders() at 2022-03-07T13:42:00.0000000Z 
2022-03-07T15:23:00Z,BTCUSDT,38777.8,-0.02425533,Market,Filled,-940.5683357, 
2022-03-07T15:23:00Z,BTCUSDT,0,0.02425533,Limit,Canceled,0,Canceled by CancelOpenOrders() at 2022-03-07T15:32:00.0000000Z 
2022-03-07T15:23:00Z,BTCUSDT,39049.24,0.02425533,Stop Limit,Filled,947.1522024,Stop Market 
2022-03-07T15:36:00Z,BTCUSDT,39151.16,0.02384696,Market,Filled,933.6361465, 
2022-03-07T15:36:00Z,BTCUSDT,0,-0.02383742,Limit,Canceled,0,Canceled by CancelOpenOrders() at 2022-03-07T16:46:00.0000000Z 
2022-03-07T15:36:00Z,BTCUSDT,38892.3,-0.02383742,Stop Limit,Filled,-927.0920899,Stop Market 
2022-03-07T17:00:00Z,BTCUSDT,38821.42,-0.02386768,Market,Filled,-926.5772297, 
2022-03-07T17:00:00Z,BTCUSDT,38122.63,0.02386768,Limit,Filled,909.8987336,Top Profit Limit 
2022-03-07T17:00:00Z,BTCUSDT,0,0.02386768,Stop Limit,Canceled,0,Canceled by CancelOpenOrders() at 2022-03-07T18:10:00.0000000Z 
2022-03-07T21:20:00Z,BTCUSDT,38155.27,0.02470992,Market,Filled,942.8136693, 
2022-03-07T21:20:00Z,BTCUSDT,0,-0.02470003,Limit,Canceled,0,Canceled by CancelOpenOrders() at 2022-03-07T21:24:00.0000000Z 
2022-03-07T21:20:00Z,BTCUSDT,37912.52,-0.02470003,Stop Limit,Filled,-936.4403814,Stop Market 
2022-03-08T00:12:00Z,BTCUSDT,37868.11,-0.02471173,Market,Filled,-935.7865099, 
2022-03-08T00:12:00Z,BTCUSDT,0,0.02471173,Limit,Canceled,0,Canceled by CancelOpenOrders() at 2022-03-08T00:14:00.0000000Z 
2022-03-08T00:12:00Z,BTCUSDT,38105.13,0.02471173,Stop Limit,Filled,941.6436842,Stop Market 
2022-03-08T00:18:00Z,BTCUSDT,38220.76,0.02432374,Market,Filled,929.6718288, 
2022-03-08T00:18:00Z,BTCUSDT,38908.73,-0.02431401,Limit,Filled,-946.0272503,Top Profit Limit 
2022-03-08T00:18:00Z,BTCUSDT,0,-0.02431401,Stop Limit,Canceled,0,Canceled by CancelOpenOrders() at 2022-03-08T02:47:00.0000000Z 
2022-03-08T04:59:00Z,BTCUSDT,38555.12,-0.02451473,Market,Filled,-945.1683569, 
2022-03-08T04:59:00Z,BTCUSDT,0,0.02451473,Limit,Canceled,0,Canceled by CancelOpenOrders() at 2022-03-08T08:29:00.0000000Z 
2022-03-08T04:59:00Z,BTCUSDT,38825.01,0.02451473,Stop Limit,Filled,951.7846374,Stop Market 
2022-03-08T12:37:00Z,BTCUSDT,38844.05,-0.02414399,Market,Filled,-937.8503548, 
2022-03-08T12:37:00Z,BTCUSDT,0,0.02414399,Limit,Canceled,0,Canceled by CancelOpenOrders() at 2022-03-08T13:07:00.0000000Z 
2022-03-08T12:37:00Z,BTCUSDT,39096.96,0.02414399,Stop Limit,Filled,943.9566113,Stop Market 
2022-03-08T14:03:00Z,BTCUSDT,38929.28,0.02392855,Market,Filled,931.5212229, 
2022-03-08T14:03:00Z,BTCUSDT,0,-0.02391897,Limit,Canceled,0,Canceled by CancelOpenOrders() at 2022-03-08T14:11:00.0000000Z 
2022-03-08T14:03:00Z,BTCUSDT,38690.39,-0.02391897,Stop Limit,Filled,-925.4342777,Stop Market 
2022-03-08T17:22:00Z,BTCUSDT,38990.27,0.02373011,Market,Filled,925.243396, 
2022-03-08T17:22:00Z,BTCUSDT,0,-0.02372061,Limit,Canceled,0,Canceled by CancelOpenOrders() at 2022-03-08T17:26:00.0000000Z 
2022-03-08T17:22:00Z,BTCUSDT,38745.06,-0.02372061,Stop Limit,Filled,-919.0564577,Stop Market 
2022-03-08T19:02:00Z,BTCUSDT,38597.69,-0.02379496,Market,Filled,-918.4304896, 
2022-03-08T19:02:00Z,BTCUSDT,0,0.02379496,Limit,Canceled,0,Canceled by CancelOpenOrders() at 2022-03-08T19:49:00.0000000Z 
2022-03-08T19:02:00Z,BTCUSDT,38840.05,0.02379496,Stop Limit,Filled,924.1974361,Stop Market 
2022-03-08T22:52:00Z,BTCUSDT,38626.45,0.02362356,Market,Filled,912.4942592, 
2022-03-08T22:52:00Z,BTCUSDT,39321.73,-0.02361411,Limit,Filled,-928.5476576,Top Profit Limit 
2022-03-08T22:52:00Z,BTCUSDT,0,-0.02361411,Stop Limit,Canceled,0,Canceled by CancelOpenOrders() at 2022-03-09T02:27:00.0000000Z 
2022-03-09T12:47:00Z,BTCUSDT,41937.65,-0.02210806,Market,Filled,-927.1600825, 
2022-03-09T12:47:00Z,BTCUSDT,0,0.02210806,Limit,Canceled,0,Canceled by CancelOpenOrders() at 2022-03-09T14:09:00.0000000Z 
2022-03-09T12:47:00Z,BTCUSDT,42231.21,0.02210806,Stop Limit,Filled,933.6501246,Stop Market 
2022-03-09T14:22:00Z,BTCUSDT,42103.97,0.02185996,Market,Filled,920.3911, 
2022-03-09T14:22:00Z,BTCUSDT,0,-0.02185121,Limit,Canceled,0,Canceled by CancelOpenOrders() at 2022-03-09T18:50:00.0000000Z 
2022-03-09T14:22:00Z,BTCUSDT,41850.93,-0.02185121,Stop Limit,Filled,-914.4934601,Stop Market 
2022-03-09T19:57:00Z,BTCUSDT,42257.47,0.02163451,Market,Filled,914.2196573, 
2022-03-09T19:57:00Z,BTCUSDT,0,-0.02162585,Limit,Canceled,0,Canceled by CancelOpenOrders() at 2022-03-09T20:35:00.0000000Z 
2022-03-09T19:57:00Z,BTCUSDT,41987.62,-0.02162585,Stop Limit,Filled,-908.017972,Stop Market 
2022-03-09T20:36:00Z,BTCUSDT,41959.3,-0.02162709,Market,Filled,-907.4575574, 
2022-03-09T20:36:00Z,BTCUSDT,41204.03,0.02162709,Limit,Filled,891.1232652,Top Profit Limit 
2022-03-09T20:36:00Z,BTCUSDT,0,0.02162709,Stop Limit,Canceled,0,Canceled by CancelOpenOrders() at 2022-03-10T01:47:00.0000000Z 
2022-03-10T09:48:00Z,BTCUSDT,39270.37,0.02352175,Market,Filled,923.7078255, 
2022-03-10T09:48:00Z,BTCUSDT,0,-0.02351234,Limit,Canceled,0,Canceled by CancelOpenOrders() at 2022-03-10T10:40:00.0000000Z 
2022-03-10T09:48:00Z,BTCUSDT,39031.1,-0.02351234,Stop Limit,Filled,-917.7124938,Stop Market 
2022-03-10T12:30:00Z,BTCUSDT,39221.06,0.02339337,Market,Filled,917.5127684, 
2022-03-10T12:30:00Z,BTCUSDT,39927.04,-0.02338401,Limit,Filled,-933.6543026,Top Profit Limit 
2022-03-10T12:30:00Z,BTCUSDT,0,-0.02338401,Stop Limit,Canceled,0,Canceled by CancelOpenOrders() at 2022-03-10T13:34:00.0000000Z 
2022-03-10T13:50:00Z,BTCUSDT,38719.81,-0.02408884,Market,Filled,-932.7153079, 
2022-03-10T13:50:00Z,BTCUSDT,0,0.02408884,Limit,Canceled,0,Canceled by CancelOpenOrders() at 2022-03-10T13:53:00.0000000Z 
2022-03-10T13:50:00Z,BTCUSDT,38955.08,0.02408884,Stop Limit,Filled,938.3826893,Stop Market 
2022-03-10T14:59:00Z,BTCUSDT,39295.27,0.02358794,Market,Filled,926.894471, 
2022-03-10T14:59:00Z,BTCUSDT,0,-0.0235785,Limit,Canceled,0,Canceled by CancelOpenOrders() at 2022-03-10T15:34:00.0000000Z 
2022-03-10T14:59:00Z,BTCUSDT,39046.97,-0.0235785,Stop Limit,Filled,-920.6689821,Stop Market 
